scope,mode,entry,exit,instruments,eligible,positive_full,positive_common,median_cagr,median_drawdown,median_full_return,thin_trade_samples,exhausted,channel_exit_share,closed_trades,neighbor_median
Priority assets,both,100,20,60,60,18,18,-0.007980073947231103,-0.3650789985996793,-0.06868525958010152,1,0,0.006907137375287797,2606,-0.007560141116733143
Priority assets,both,100,55,60,60,18,18,-0.007560141116733143,-0.3650789985996793,-0.06396731292332147,1,0,0.0,2602,-0.007560141116733143
Priority assets,both,100,100,60,60,18,18,-0.007560141116733143,-0.3650789985996793,-0.06396731292332147,1,0,0.0,2602,-0.007560141116733143
Priority assets,both,200,10,60,60,28,28,-0.0021448938761819414,-0.2764631552954396,-0.020903749024480944,0,0,0.1281795511221945,2005,-0.0021448938761819414
Priority assets,both,200,20,60,60,31,31,0.0009270328847426068,-0.27709087436310237,0.0091604985385354,0,0,0.00819672131147541,1952,-0.0006089304957196673
Priority assets,both,200,55,60,60,31,31,0.0009270328847426068,-0.2772553466076731,0.0091604985385354,0,0,0.0,1949,0.0009270328847426068
Priority assets,both,200,100,60,60,31,31,0.0009270328847426068,-0.2772553466076731,0.0091604985385354,0,0,0.0,1949,0.0009270328847426068
Priority assets,long,10,10,60,60,48,47,0.022464120457143966,-0.25876517620753786,0.2983552357598921,1,0,0.18512067678526997,4019,0.022464120457143966
Priority assets,long,10,20,60,60,50,47,0.02683563744136086,-0.26971170343042533,0.36157568236481885,1,0,0.011697426566155446,3847,0.024649878949252413
Priority assets,long,10,55,60,60,46,48,0.027974054366473378,-0.2716009895926709,0.310543578903937,1,0,0.0015727391874180866,3815,0.02740484590391712
Priority assets,long,10,100,60,60,48,48,0.027974054366473378,-0.2716009895926709,0.331936688079581,1,0,0.001609442060085837,3728,0.027974054366473378
Priority assets,long,20,10,60,60,45,46,0.020597470284903885,-0.224629970997757,0.24394750320127645,1,0,0.178125,3200,0.021518361062213998
Priority assets,long,20,20,60,60,47,44,0.02243925183952411,-0.2178010701681155,0.2732226142070473,1,0,0.01040988939492518,3074,0.02243925183952411
Priority assets,long,20,55,60,60,43,43,0.02243925183952411,-0.21780107016811578,0.22593711651211024,1,0,0.0006574621959237344,3042,0.02243925183952411
Priority assets,long,20,100,60,60,44,43,0.02243925183952411,-0.21780107016811578,0.2515359129041115,1,0,0.0006749915626054674,2963,0.02243925183952411
Priority assets,long,55,10,60,60,44,45,0.010335970712836429,-0.2063686522384225,0.11251320789950414,1,0,0.15461672473867596,2296,0.010719454262881012
Priority assets,long,55,20,60,60,44,44,0.011102937812925595,-0.21178502326005938,0.11521854592739988,1,0,0.005858494817485353,2219,0.011102937812925595
Priority assets,long,55,55,60,60,44,44,0.011102937812925595,-0.21178502326005938,0.11521854592739988,1,0,0.0,2216,0.011102937812925595
Priority assets,long,55,100,60,60,43,44,0.011102937812925595,-0.21178502326005938,0.1308807279001276,1,0,0.0,2160,0.011102937812925595
Priority assets,long,100,10,60,60,41,38,0.006326988047427706,-0.1788839479241735,0.0681524728628694,1,0,0.14030478192327903,1903,0.006674347058564012
Priority assets,long,100,20,60,60,40,41,0.0070217060697003175,-0.18953888359401455,0.09056340115880879,1,0,0.008147745790331342,1841,0.007168037024000595
Priority assets,long,100,55,60,60,40,41,0.007168037024000595,-0.1902697200420248,0.08937507684704771,1,0,0.0,1837,0.007168037024000595
Priority assets,long,100,100,60,60,40,41,0.007168037024000595,-0.1902697200420248,0.08937507684704771,1,0,0.0,1837,0.007414722750872793
Priority assets,long,200,10,60,60,40,40,0.0061119386649256535,-0.16412220329030264,0.05953393755573366,1,0,0.13621896880967538,1571,0.006326988047427706
Priority assets,long,200,20,60,60,44,44,0.007312861527693615,-0.16554197082895722,0.07433146131179469,1,0,0.008535784635587657,1523,0.007167283798696966
Priority assets,long,200,55,60,60,41,41,0.007661408477744991,-0.16554197082895722,0.0779919119607273,1,0,0.0,1520,0.007487135002719303
Priority assets,long,200,100,60,60,41,41,0.007661408477744991,-0.16554197082895722,0.0779919119607273,1,0,0.0,1520,0.007661408477744991
Priority assets,short,10,10,60,60,2,2,-0.06334295226047215,-0.5492683630283093,-0.501736351268124,1,0,0.14907161803713528,3770,-0.06334295226047215
Priority assets,short,10,20,60,60,2,2,-0.0667868301902168,-0.572574029756165,-0.50785699084707,1,0,0.017045454545454544,3696,-0.06506489122534448
Priority assets,short,10,55,60,60,2,2,-0.0673584378939237,-0.572574029756165,-0.50785699084707,1,0,0.006806425265450586,3673,-0.06707263404207026
Priority assets,short,10,100,60,60,2,2,-0.0673584378939237,-0.572574029756165,-0.4968331154172419,1,0,0.005271920088790233,3604,-0.0673584378939237
Priority assets,short,20,10,60,60,2,3,-0.057932804195240606,-0.504451216537404,-0.45439340369114944,1,0,0.1276849642004773,2514,-0.058906000875341896
Priority assets,short,20,20,60,60,2,2,-0.05987919755544319,-0.507054773767996,-0.463832029825355,1,0,0.006055712555510699,2477,-0.05987919755544319
Priority assets,short,20,55,60,60,2,2,-0.05987919755544319,-0.507054773767996,-0.4517650636274294,1,0,0.0008116883116883117,2464,-0.05987919755544319
Priority assets,short,20,100,60,60,2,2,-0.05987919755544319,-0.507054773767996,-0.44428600987019773,1,0,0.0,2432,-0.05987919755544319
Priority assets,short,55,10,60,60,4,4,-0.038553981357910216,-0.3839054733774592,-0.3171377738914713,2,0,0.10929853181076672,1226,-0.037576603761299565
Priority assets,short,55,20,60,60,4,4,-0.036599226164688914,-0.3828881929556383,-0.32616890157488954,2,0,0.006600660066006601,1212,-0.03741992127520943
Priority assets,short,55,55,60,60,4,4,-0.03741992127520943,-0.3828881929556383,-0.3317096082949445,2,0,0.0008250825082508251,1212,-0.03741992127520943
Priority assets,short,55,100,60,60,4,4,-0.03741992127520943,-0.3828881929556383,-0.30592860981756803,2,0,0.0,1206,-0.03741992127520943
Priority assets,short,100,10,60,60,7,7,-0.021769776629914528,-0.3068731877668637,-0.1946538942610821,2,0,0.10824742268041238,776,-0.022468747203982786
Priority assets,short,100,20,60,60,8,8,-0.023167717778051045,-0.2938448680004853,-0.20008936793889315,2,0,0.00392156862745098,765,-0.023167717778051045
Priority assets,short,100,55,60,60,8,8,-0.023167717778051045,-0.2938448680004852,-0.20008936793889315,2,0,0.0,765,-0.023167717778051045
Priority assets,short,100,100,60,60,8,8,-0.023167717778051045,-0.2938448680004852,-0.20008936793889315,2,0,0.0,765,-0.023167717778051045
Priority assets,short,200,10,60,60,10,10,-0.0100305828088193,-0.2104043878906945,-0.09440639873964635,11,0,0.09907834101382489,434,-0.010506444833590978
Priority assets,short,200,20,60,60,10,10,-0.010506444833590978,-0.21353799984556115,-0.09869782935938792,12,0,0.006993006993006993,429,-0.010506444833590978
Priority assets,short,200,55,60,60,10,10,-0.010506444833590978,-0.21353799984556115,-0.09869782935938792,12,0,0.0,429,-0.010506444833590978
Priority assets,short,200,100,60,60,10,10,-0.010506444833590978,-0.21353799984556115,-0.09869782935938792,12,0,0.0,429,-0.010506444833590978
Whole universe,both,10,10,678,662,85,80,-0.08442068521681512,-0.7211834870681186,-0.5725280145834395,0,0,0.17906501622401153,83210,-0.08349276810091322
Whole universe,both,10,20,678,662,84,85,-0.08349276810091322,-0.7295164773796525,-0.5683764324285774,0,1,0.01169832094687586,79926,-0.08333640251872787
