scope,config,mode,instruments,eligible,positive_net,positive_gross,positive_common,median_cagr,median_drawdown,median_full_return,thin_samples,exhausted,trades,channel_exits,initial_exits,trailing_exits
Priority assets,channel-e200-x55-i2-t3,short,60,60,7,9,7,-0.03010197419975491,-0.3580458282134025,-0.25973259559187384,38,0,238,238,0,0
Priority assets,channel_initial-e10-x10-i2-t3,both,60,60,15,32,15,-0.02310395889591671,-0.49119152035887825,-0.2031067184103001,1,0,6031,3534,2497,0
Priority assets,channel_initial-e10-x10-i2-t3,long,60,60,54,58,53,0.033517897619546044,-0.26762051297188194,0.3333353793810985,1,0,3489,2290,1199,0
Priority assets,channel_initial-e10-x10-i2-t3,short,60,60,2,5,2,-0.08283336324369672,-0.6104284796242976,-0.5809476182491573,1,0,3451,1805,1646,0
Priority assets,channel_initial-e10-x10-i3-t3,both,60,60,16,27,16,-0.0175471363233341,-0.4868677504419823,-0.22564518926100235,1,0,5445,4509,936,0
Priority assets,channel_initial-e10-x10-i3-t3,long,60,60,54,59,52,0.030811919820594724,-0.2995463686809293,0.3793176110453489,1,0,3276,2813,463,0
Priority assets,channel_initial-e10-x10-i3-t3,short,60,60,2,4,2,-0.08855282362572114,-0.6350779764265851,-0.6109897011976568,1,0,3260,2631,629,0
Priority assets,channel_initial-e10-x20-i2-t3,both,60,60,26,36,27,-0.005708430106996509,-0.4863410006948416,-0.07955101010334747,1,0,4193,1866,2327,0
Priority assets,channel_initial-e10-x20-i2-t3,long,60,60,57,59,56,0.040950202195791596,-0.27284389154127575,0.5063165291489029,1,0,2559,1366,1193,0
Priority assets,channel_initial-e10-x20-i2-t3,short,60,60,1,4,1,-0.07983645358542757,-0.6302868422476589,-0.6037031116303152,1,0,3002,1078,1924,0
Priority assets,channel_initial-e10-x20-i3-t3,both,60,60,29,39,29,-0.002003472700626452,-0.47613816963994704,-0.004527284735881876,1,0,3487,2308,1179,0
Priority assets,channel_initial-e10-x20-i3-t3,long,60,60,58,59,58,0.046479334182415566,-0.30936039879818655,0.6188535675389214,2,0,2268,1650,618,0
