symbol,group,watchlist_section,exit,exit_label,period,bars,cagr,sharpe,max_drawdown,calmar,turnover_per_year
A,Individual equity,,channel,Donchian exit channel (Turtle),2016-2019,1006,0.0965824265997397,0.738112848702785,-0.12847166750219796,0.7517799720166886,17.785288270377734
A,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.09496630202344725,0.7165463655444944,-0.17444681252133576,0.5443854241351207,16.783300198807158
A,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.1253902740772983,0.9241008738797047,-0.14257598462694765,0.879462795963738,16.282306163021868
A,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.10973752941379078,0.8541434113173645,-0.14257598462694754,0.7696775140702754,16.282306163021868
A,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.06713858739530942,0.5643619691068059,-0.14257598462694787,0.47089688751565356,15.78131212723658
A,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.07106449677218718,0.5200509845749035,-0.20358181444709678,0.34907094705482233,14.779324055666004
A,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,756,0.12380912734492111,0.591371794975858,-0.2354353750186845,0.5258730865533501,19.0
A,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,0.1592316129947473,0.7153754835944721,-0.26754568393593525,0.5951567248338638,17.666666666666668
A,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,0.15239029726962805,0.6910763316361892,-0.2804372495489432,0.5434024813562871,17.666666666666668
A,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,0.15239029726962805,0.6910763316361892,-0.2804372495489432,0.5434024813562871,17.666666666666668
A,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,0.15239029726962805,0.6910763316361892,-0.2804372495489432,0.5434024813562871,17.666666666666668
A,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,0.025366877799892773,0.2273669178248146,-0.33350509413917306,0.07606144027685247,17.0
A,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.166466953497737,0.9050961737384411,-0.19080929295399307,0.8724258180542319,18.9618320610687
A,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.16066490117374088,0.8779319304814106,-0.19080929295399318,0.8420182197964512,17.862595419847327
A,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.16890751904904566,0.9105503224349029,-0.19080929295399307,0.8852164191487872,17.31297709923664
A,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.16890751904904566,0.9105503224349029,-0.19080929295399307,0.8852164191487872,17.31297709923664
A,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.16890751904904566,0.9105503224349029,-0.19080929295399307,0.8852164191487872,17.31297709923664
A,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.09264043441264813,0.5396212369205524,-0.26560853190463085,0.34878561222540666,16.763358778625953
AAL,Individual equity,,channel,Donchian exit channel (Turtle),2016-2019,1006,0.18214215627263486,0.762176136956396,-0.2507551717624952,0.7263744751201076,20.03976143141153
AAL,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.21060066518699316,0.860286482272805,-0.25683727208967,0.8199770363293137,20.03976143141153
AAL,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.19726316107979325,0.8124554501046627,-0.25806098452816184,0.7644052100338561,20.03976143141153
AAL,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.20087745203420182,0.8315343287598678,-0.25806098452816206,0.7784107791477489,19.037773359840955
AAL,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.17531835936113205,0.7586734269427056,-0.25806098452816195,0.6793679396429634,18.536779324055665
AAL,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.05414403445199767,0.3280985748142926,-0.31781080887967816,0.17036561671033779,19.037773359840955
AAL,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,756,-0.14119865970537304,-0.029985002395317022,-0.6583393651078444,-0.21447701168870997,19.0
AAL,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,-0.277864670945435,-0.38705801516753446,-0.7620531670703844,-0.3646263580448725,19.666666666666668
AAL,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,-0.272780744701946,-0.37260236971232885,-0.7569921740997728,-0.3603481700802802,19.0
AAL,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,-0.272780744701946,-0.37260236971232885,-0.7569921740997728,-0.3603481700802802,19.0
AAL,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,-0.272780744701946,-0.37260236971232885,-0.7569921740997728,-0.3603481700802802,19.0
AAL,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,-0.24995969394147233,-0.22083992249761783,-0.7724008635069025,-0.3236139493767391,17.666666666666668
AAL,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.49816501545464464,1.2984419711496362,-0.2523263836256803,1.9742882543494131,16.213740458015266
AAL,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.3488888534473378,1.128562307715532,-0.26280658998017314,1.3275498665146064,18.412213740458014
AAL,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.39533248482904026,1.2244915151194886,-0.26280658998017337,1.5042715818460446,17.862595419847327
AAL,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.39533248482904026,1.2244915151194886,-0.26280658998017337,1.5042715818460446,17.862595419847327
AAL,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.39533248482904026,1.2244915151194886,-0.26280658998017337,1.5042715818460446,17.862595419847327
AAL,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.2531284654890724,0.831010944481382,-0.351672473117974,0.719784699794108,16.213740458015266
AAPL,Individual equity,Mega-cap 7,channel,Donchian exit channel (Turtle),2016-2019,1006,0.34941235246510516,1.6620103062332863,-0.1585942988539436,2.203183563281138,18.78727634194831
AAPL,Individual equity,Mega-cap 7,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.3711312804171263,1.7706773293904732,-0.15770496745760088,2.353326508354312,18.28628230616302
AAPL,Individual equity,Mega-cap 7,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.36756329109263786,1.7565482759440172,-0.15770496745760088,2.330702050913251,18.28628230616302
AAPL,Individual equity,Mega-cap 7,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.3455466431384002,1.6927491187577095,-0.15770496745760076,2.191095491214004,17.785288270377734
AAPL,Individual equity,Mega-cap 7,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.32940694405094995,1.6732639207813174,-0.15770496745760076,2.088754396018068,16.783300198807158
AAPL,Individual equity,Mega-cap 7,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.3371141583116868,1.5405202240544973,-0.20210119723595987,1.668046319973527,14.779324055666004
AAPL,Individual equity,Mega-cap 7,channel,Donchian exit channel (Turtle),2020-2022,756,0.3140550859402731,1.0505714612820416,-0.22823654130375426,1.3760070326438443,16.666666666666668
AAPL,Individual equity,Mega-cap 7,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,0.2581225695157585,1.0064147371316345,-0.19092725167552682,1.351941994924996,20.0
AAPL,Individual equity,Mega-cap 7,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,0.2585949878439633,1.0078484188903738,-0.19083294332637635,1.3550856751273568,20.0
AAPL,Individual equity,Mega-cap 7,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,0.2585949878439633,1.0078484188903738,-0.19083294332637635,1.3550856751273568,20.0
AAPL,Individual equity,Mega-cap 7,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,0.2585949878439633,1.0078484188903738,-0.19083294332637635,1.3550856751273568,20.0
AAPL,Individual equity,Mega-cap 7,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,0.2362147113390396,0.8560418687335095,-0.2229861613293176,1.0593245335533867,15.333333333333334
AAPL,Individual equity,Mega-cap 7,channel,Donchian exit channel (Turtle),2023-present,917,0.22881570599379986,1.2314362770650793,-0.15403662857619538,1.4854629584457208,17.31297709923664
AAPL,Individual equity,Mega-cap 7,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.24671742501970084,1.433555570654614,-0.11530508754856905,2.13969244779228,16.763358778625953
AAPL,Individual equity,Mega-cap 7,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.23619170141786983,1.3815933744683264,-0.1153050875485695,2.048406591932726,16.213740458015266
AAPL,Individual equity,Mega-cap 7,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.23619170141786983,1.3815933744683264,-0.1153050875485695,2.048406591932726,16.213740458015266
AAPL,Individual equity,Mega-cap 7,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.23619170141786983,1.3815933744683264,-0.1153050875485695,2.048406591932726,16.213740458015266
AAPL,Individual equity,Mega-cap 7,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.19015646309224743,0.9995222084099333,-0.16159251395970864,1.1767652995339928,15.664122137404581
ABBV,Individual equity,,channel,Donchian exit channel (Turtle),2016-2019,1006,0.10189333524083533,0.6568479739597005,-0.33142337261445665,0.3074416099173772,16.532803180914513
ABBV,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.05210856594742164,0.42496312122626834,-0.32684608708819884,0.15942845273641054,17.033797216699803
ABBV,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.06902066123676942,0.5317434584287926,-0.3268460870881995,0.2111717531993711,16.532803180914513
ABBV,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.050221864344931255,0.420050687312615,-0.3268460870881994,0.15365600608025295,16.532803180914513
ABBV,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.05454931525331186,0.4511406688119379,-0.3268460870881994,0.16689603274519768,15.029821073558647
ABBV,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.0630302796909672,0.4780970626408581,-0.38244784362171036,0.16480751752731065,14.779324055666004
ABBV,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,756,0.2488245464557668,1.1873024885309653,-0.1725042725214735,1.442425412534596,16.666666666666668
ABBV,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,0.3174587117977776,1.4483235485531882,-0.1725042725214735,1.8402947773844853,15.333333333333334
ABBV,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,0.3029187503951176,1.3973899244325505,-0.1725042725214735,1.7560072337188635,15.0
ABBV,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,0.3029187503951176,1.3973899244325505,-0.1725042725214735,1.7560072337188635,15.0
ABBV,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,0.3029187503951176,1.3973899244325505,-0.1725042725214735,1.7560072337188635,15.0
ABBV,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,0.2881077459943284,1.2732139691381743,-0.22365953736141853,1.2881531876226946,14.333333333333334
ABBV,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.1640988601746718,1.090353643792093,-0.2164433347756306,0.7581608384697079,16.48854961832061
ABBV,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.08824061833269159,0.6520194237598786,-0.1800859696213981,0.48999163298619736,17.587786259541986
ABBV,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.13867151831373659,0.9248288833146243,-0.180085969621398,0.7700295509154396,15.664122137404581
ABBV,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.13867151831373659,0.9248288833146243,-0.180085969621398,0.7700295509154396,15.664122137404581
ABBV,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.13867151831373659,0.9248288833146243,-0.180085969621398,0.7700295509154396,15.664122137404581
ABBV,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.08311197329387099,0.5788265893126647,-0.17452526421572023,0.4762174328591261,15.389312977099237
ABNB,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,518,-0.07786733236527754,-0.05635766788615648,-0.38204873211999435,-0.20381518329661902,18.0
ABNB,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,518,0.0006301967301376443,0.18728208251141903,-0.3833348504823145,0.0016439849633935618,15.081081081081082
ABNB,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,518,-0.01808263058497428,0.1349553320515911,-0.3833348504823143,-0.04717189309091673,15.081081081081082
ABNB,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,518,-0.02353261258405759,0.11096744215012697,-0.3833348504823142,-0.06138918116745377,14.108108108108109
ABNB,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,518,-0.04487629254366887,0.04011756564827458,-0.3833348504823142,-0.11706812591447205,13.135135135135137
ABNB,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,518,-0.0478495137849132,0.0668637650999088,-0.45885493519564435,-0.10428026401091525,14.108108108108109
ABNB,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.15696744866841694,0.6796652349977917,-0.2349914867324281,0.6679707884360389,23.083969465648856
ABNB,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.14893657135332172,0.638824114183318,-0.2512170033757558,0.5928602337897927,21.984732824427482
ABNB,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.19894184830129502,0.7854237584876882,-0.25121700337575525,0.7919123531767067,19.786259541984734
ABNB,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.1915766360001907,0.7653090084297149,-0.25121700337575525,0.7625942250160588,19.786259541984734
ABNB,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.1915766360001907,0.7653090084297149,-0.25121700337575525,0.7625942250160588,19.786259541984734
ABNB,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.07502361878200303,0.3878522723030696,-0.35930577295296984,0.20880159582580102,20.885496183206108
ABT,Individual equity,,channel,Donchian exit channel (Turtle),2016-2019,1006,0.10884059274272473,0.9178803642825492,-0.15668478130538022,0.6946468689297483,18.28628230616302
ABT,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.07809710848876561,0.6753118683832255,-0.16356497899982259,0.47746839798053786,17.284294234592444
ABT,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.08912742421529107,0.7695622252489885,-0.137017122942921,0.6504838395447847,16.282306163021868
ABT,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.06828093945262248,0.6176320953812388,-0.1370171229429218,0.49833873304336396,16.282306163021868
ABT,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.07581579237370861,0.6905365052070681,-0.137017122942921,0.5533307862937115,14.779324055666004
ABT,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.07036914452689991,0.5959366720590922,-0.20298551825596833,0.3466707631731795,16.783300198807158
ABT,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,756,0.014238206196508063,0.17674543265934542,-0.28066677110639204,0.05072993194164336,20.333333333333332
ABT,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,-0.013567620875406305,0.018632590096453593,-0.2715803724512724,-0.049958031771388925,20.666666666666668
ABT,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,0.03771292997733089,0.2838063802047891,-0.2842740567456209,0.13266398773447638,19.333333333333332
ABT,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,0.03584025322091966,0.27489675515915424,-0.2881419068443345,0.12438403567684433,19.333333333333332
ABT,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,0.03584025322091966,0.27489675515915424,-0.2881419068443345,0.12438403567684433,19.333333333333332
ABT,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,-0.0835428977077336,-0.359980846838566,-0.3775479969850275,-0.2212775551052564,20.666666666666668
ABT,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.21285844306219226,1.2915261965840878,-0.1965698829092144,1.0828639662999684,15.938931297709924
ABT,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.1740909735137528,1.0858988224872796,-0.23579687802954863,0.7383090690960581,15.664122137404581
ABT,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.16951397163743498,1.0606574575727028,-0.23792645600502904,0.7124637355748785,15.664122137404581
ABT,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.16951397163743498,1.0606574575727028,-0.23792645600502904,0.7124637355748785,15.664122137404581
ABT,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.16951397163743498,1.0606574575727028,-0.23792645600502904,0.7124637355748785,15.664122137404581
ABT,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.1668195182666814,1.0150159399332912,-0.22162511565041443,0.7527103495337508,14.83969465648855
