signal,n_basket,cadence,skip,cagr,vol,sharpe,max_drawdown,calmar,turnover_yr,avg_n
composite,10,weekly,0,1.9254873023491408,0.3281802408271116,3.4411651626286193,-0.2617840667908925,7.355250172223731,52.36907730673317,10.0
composite,10,weekly,21,1.4135768147006327,0.33117221915979894,2.8305704481405223,-0.30109375615678424,4.694806138605415,52.301886792452834,10.0
composite,10,monthly,0,0.6766497144163419,0.3279362534355476,1.7415557333844571,-0.3303025874452107,2.048575276536645,12.04488778054863,10.0
composite,10,monthly,21,0.5877045535520786,0.3365361840543214,1.5436811527837413,-0.35168603480487726,1.6711057460048118,12.045283018867925,10.0
composite,10,quarterly,0,0.40689013742913027,0.33755428755810674,1.1812870626429945,-0.4553687777529537,0.8935398237818492,4.084788029925187,10.0
composite,10,quarterly,21,0.4411789727174187,0.3466489438908468,1.229147837672685,-0.4643531739713972,0.9500935870518977,4.120754716981132,10.0
composite,20,weekly,0,1.218578143666178,0.2749655439518764,3.040164598690246,-0.23962769187977406,5.0852976720134775,52.36907730673317,20.0
composite,20,weekly,21,0.9171053314574944,0.28752579788689814,2.4106965273145877,-0.3155128601992181,2.9067129969866348,52.301886792452834,20.0
composite,20,monthly,0,0.5271749935539971,0.2845632702745116,1.6319398427561003,-0.29992193212102036,1.7577073801367709,12.04488778054863,20.0
composite,20,monthly,21,0.4611506748821028,0.2934651766474099,1.440464354385066,-0.3185448178257563,1.4476790990659023,12.045283018867925,20.0
composite,20,quarterly,0,0.3815593587800026,0.3001418196815815,1.2284683090155466,-0.40226250251667095,0.9485332497880278,4.084788029925187,20.0
composite,20,quarterly,21,0.37932607093711357,0.305075685111474,1.2082780153382913,-0.3944393758324878,0.9616840867789209,4.120754716981132,20.0
composite,40,weekly,0,0.7625767886479948,0.23705705365971963,2.5123869126248533,-0.23460954913683263,3.2504081417557003,52.36907730673317,40.0
composite,40,weekly,21,0.5450912333540077,0.2531777966551922,1.8472230090834072,-0.32850107461001354,1.659328615594708,52.301886792452834,40.0
composite,40,monthly,0,0.42296876008137585,0.2532090373502048,1.5212254877517375,-0.3047256891958825,1.3880311869915398,12.04488778054863,40.0
composite,40,monthly,21,0.34482639760133305,0.26300526298527976,1.2593076312836309,-0.33800818856869363,1.0201717273818465,12.045283018867925,40.0
composite,40,quarterly,0,0.2853972667046685,0.2654872968671626,1.0797900327725491,-0.38984334196384696,0.7320819313393211,4.084788029925187,40.0
composite,40,quarterly,21,0.2877155634179669,0.2717572096630555,1.0675860790723097,-0.3605112634058991,0.7980764892053549,4.120754716981132,40.0
