symbol,group,watchlist_section,period,bars,both_sharpe,both_cagr,both_max_drawdown,long_sharpe,long_cagr,long_max_drawdown,short_sharpe,short_cagr,short_max_drawdown,d_sharpe,d_cagr,d_ddred
A,Individual equity,,2016-2019,1006,0.9241008738797047,0.1253902740772983,-0.14257598462694765,1.7393949976380871,0.20088575223001826,-0.060063147077790924,-0.5078300320455483,-0.04800394632016347,-0.2600613902808204,-0.8152941237583824,-0.07549547815271995,-0.08251283754915673
A,Individual equity,,2020-2022,756,0.6910763316361892,0.15239029726962805,-0.2804372495489432,1.2305484730823437,0.206580639545477,-0.15841853227311775,-0.12280100712959233,-0.041322813404715775,-0.2117138279160361,-0.5394721414461545,-0.05419034227584896,-0.12201871727582547
A,Individual equity,,2023-present,917,0.9105503224349029,0.16890751904904566,-0.19080929295399307,0.24808685860688998,0.0237592289700983,-0.23914253036077993,0.981297830606482,0.14599131520236108,-0.11495819718492595,0.6624634638280129,0.14514829007894736,0.048333237406786855
AAL,Individual equity,,2016-2019,1006,0.8124554501046627,0.19726316107979325,-0.25806098452816184,0.4498227661985168,0.060926740903271215,-0.22852324666630164,0.6640284688043511,0.1260190789029194,-0.21903362229180257,0.3626326839061459,0.13633642017652203,-0.029537737861860203
AAL,Individual equity,,2020-2022,756,-0.37260236971232885,-0.272780744701946,-0.7569921740997728,-0.013281043146528773,-0.018239805422209487,-0.24542816472697748,-0.43196710700352736,-0.27231744952778314,-0.7579851815171111,-0.35932132656580007,-0.25454093927973653,-0.5115640093727953
AAL,Individual equity,,2023-present,917,1.2244915151194886,0.39533248482904026,-0.26280658998017337,0.6678731663486545,0.124436986918814,-0.18243986066836593,1.054498474482278,0.2443307782295281,-0.1405816009901576,0.5566183487708342,0.27089549791022627,-0.08036672931180744
AAPL,Individual equity,Mega-cap 7,2016-2019,1006,1.7565482759440172,0.36756329109263786,-0.15770496745760088,2.2058335063873344,0.2921835916347444,-0.08348224065002519,0.5263840534632204,0.068744693272214,-0.14702951403556974,-0.44928523044331725,0.07537969945789347,-0.07422272680757569
AAPL,Individual equity,Mega-cap 7,2020-2022,756,1.0078484188903738,0.2585949878439633,-0.19083294332637635,1.8642974332764322,0.3144258609116579,-0.09568221949585431,-0.08096727256517085,-0.039295138226401294,-0.31629369543884167,-0.8564490143860584,-0.05583087306769463,-0.09515072383052203
AAPL,Individual equity,Mega-cap 7,2023-present,917,1.3815933744683264,0.23619170141786983,-0.1153050875485695,1.7055966749296738,0.22571370080798592,-0.06264942395996631,0.19968899563878165,0.01594067002025623,-0.14529201671011738,-0.3240033004613474,0.010478000609883908,-0.052655663588603185
ABBV,Individual equity,,2016-2019,1006,0.5317434584287926,0.06902066123676942,-0.3268460870881995,0.9015175017027024,0.09027130709906661,-0.1907776717854115,-0.07775900087498905,-0.013413201217024717,-0.2112056885746426,-0.36977404327390984,-0.02125064586229719,-0.13606841530278801
ABBV,Individual equity,,2020-2022,756,1.3973899244325505,0.3029187503951176,-0.1725042725214735,1.8071144895622042,0.2753878167008432,-0.09457997778953064,0.3378031924492496,0.04100593661647367,-0.16841511742002668,-0.4097245651296537,0.027530933694274395,-0.07792429473194284
ABBV,Individual equity,,2023-present,917,0.9248288833146243,0.13867151831373659,-0.180085969621398,1.1056992608137202,0.14301467606060525,-0.1489860227020322,-0.06796565049754932,-0.010137646317944449,-0.16328105535815907,-0.18087037749909585,-0.004343157746868664,-0.031099946919365795
ABNB,Individual equity,,2020-2022,518,0.1349553320515911,-0.01808263058497428,-0.3833348504823143,0.45638041289244374,0.08027559371668835,-0.183859491922286,-0.005057173847102869,-0.04787394064289019,-0.35846294889929453,-0.32142508084085264,-0.09835822430166263,-0.1994753585600283
ABNB,Individual equity,,2023-present,917,0.7854237584876882,0.19894184830129502,-0.25121700337575525,1.0638222065445289,0.23063926383732114,-0.16833786736041967,-0.07221070011997291,-0.02913816677391201,-0.21436977535109392,-0.27839844805684066,-0.03169741553602612,-0.08287913601533559
ABT,Individual equity,,2016-2019,1006,0.7695622252489885,0.08912742421529107,-0.137017122942921,1.4667410585447203,0.15252189274805117,-0.10399481751562556,-0.568957609241266,-0.043870124398733834,-0.2520790288796291,-0.6971788332957317,-0.0633944685327601,-0.03302230542729545
ABT,Individual equity,,2020-2022,756,0.2838063802047891,0.03771292997733089,-0.2842740567456209,0.6391539677185597,0.0812693853219475,-0.19272364954147936,-0.23601536901424064,-0.04651636597990283,-0.26568392484270764,-0.3553475875137706,-0.04355645534461661,-0.09155040720414154
ABT,Individual equity,,2023-present,917,1.0606574575727028,0.16951397163743498,-0.23792645600502904,0.8085598928356801,0.08263537613927152,-0.16217953269746643,0.5761407791562965,0.06456104519455086,-0.2626671413437677,0.2520975647370227,0.08687859549816346,-0.07574692330756261
ACGL,Individual equity,,2016-2019,1006,1.3758319300451605,0.15514375579003725,-0.09931940287891328,1.6127254686151555,0.13222897668330225,-0.04615404194125716,0.3923752522579252,0.027905944687300233,-0.09975834395947736,-0.23689353856999507,0.022914779106735006,-0.053165360937656114
ACGL,Individual equity,,2020-2022,756,0.49391249934340936,0.10658328271464934,-0.3787506945909672,0.8390992190318541,0.13312333739246962,-0.21320655304828884,0.06143937442372329,-0.012453124376267222,-0.333503430490117,-0.3451867196884448,-0.02654005467782028,-0.16554414154267838
ACGL,Individual equity,,2023-present,917,0.5777273877835916,0.07923449352897483,-0.24913074640379795,1.0041759957190062,0.11801504875817415,-0.14079653637970768,-0.5345281428988099,-0.06047752921615612,-0.21834326760569556,-0.4264486079354146,-0.03878055522919932,-0.10833421002409027
ACHR,Individual equity,,2020-2022,512,1.3075387388959263,0.7163047591019676,-0.44146972158273845,0.19880901191138692,0.018895534444425932,-0.2618313818800847,1.2849078579445894,0.6164280149947423,-0.3990738864037996,1.1087297269845393,0.6974092246575416,-0.17963833970265375
ACHR,Individual equity,,2023-present,917,1.069964519274112,0.5513994648519769,-0.3348676017325912,1.2143999142346171,0.5303196177673717,-0.2705082676142325,0.4605040256132783,0.1073361466502325,-0.36464670688039624,-0.14443539496050506,0.021079847084605197,-0.0643593341183587
ACN,Individual equity,,2016-2019,1006,1.3543845322006058,0.18108534440094615,-0.08839692917688136,2.171647192395509,0.22371028599717713,-0.0453669081213004,-0.19654388274450252,-0.021117272378764596,-0.10925599740521896,-0.8172626601949031,-0.04262494159623098,-0.04303002105558096
ACN,Individual equity,,2020-2022,756,1.0892436464621431,0.2522900872169447,-0.1824078895748088,1.3185824630227934,0.21844329457700673,-0.11324011227785546,0.22005416324645732,0.023170704837295997,-0.1901858471169653,-0.22933881656065025,0.03384679263993795,-0.06916777729695334
ACN,Individual equity,,2023-present,917,0.9194965699021006,0.19414897594328528,-0.22204097756175212,0.7701080403096225,0.09382780731692653,-0.10590708778422964,0.6996036492344035,0.11694131504356764,-0.21697283020123503,0.14938852959247806,0.10032116862635876,-0.11613388977752248
ACWI,Broad index ETF,,2016-2019,1006,0.931423419183694,0.0693874580944851,-0.13687218398282297,1.86503934794587,0.1048528523972212,-0.04419014681937061,-0.5466723877823018,-0.02991915589906924,-0.15015153303597073,-0.933615928762176,-0.0354653943027361,-0.09268203716345236
ACWI,Broad index ETF,,2020-2022,756,0.9527044563289123,0.17168593125144138,-0.10342094826079895,1.4290813497593289,0.1468609418124358,-0.06688514087753383,0.2861421162299915,0.033149491120068486,-0.16340532502290905,-0.47637689343041656,0.024824989439005574,-0.03653580738326512
ACWI,Broad index ETF,,2023-present,917,0.8903695929565797,0.08508151754568782,-0.07598911752211812,1.4317519856576886,0.10838262530669507,-0.06701431890034115,-0.38607806207463347,-0.02623375093888003,-0.09666856144383851,-0.5413823927011089,-0.023301107761007245,-0.00897479862177697
ADBE,Individual equity,,2016-2019,1006,0.7571425078085444,0.10800114611632439,-0.2027629548873212,1.691392129602972,0.20774348334952797,-0.14321431702176157,-0.7320980357655243,-0.0732155057518733,-0.2995531306385645,-0.9342496217944275,-0.09974233723320358,-0.05954863786555964
ADBE,Individual equity,,2020-2022,756,1.1167903377658384,0.3148756151711489,-0.27784291855335463,1.3618039415872518,0.24919702402840427,-0.15736981651957616,0.4260183058941479,0.0733104712831203,-0.23968531837347695,-0.24501360382141346,0.06567859114274466,-0.12047310203377848
ADBE,Individual equity,,2023-present,917,0.46588042695539755,0.08609921347632765,-0.2778473623508353,0.46849109646635007,0.06422897757257062,-0.24458310801899608,0.31182572405505415,0.04142862623890564,-0.24708353851961717,-0.0026106695109525124,0.02187023590375703,-0.033264254331839216
ADI,Individual equity,,2016-2019,1006,1.0556531594918066,0.17693070267429767,-0.15307441254805898,1.7101734786141425,0.2111550448036379,-0.10557912738068942,-0.16738267559556314,-0.027848214330874588,-0.1676998337168638,-0.6545203191223359,-0.034224342129340224,-0.04749528516736956
ADI,Individual equity,,2020-2022,756,-0.025960007803812024,-0.05767279141049653,-0.36525488652852467,0.9047793352438428,0.17144672519963988,-0.11766066329337554,-0.5117803062055649,-0.15098012835741204,-0.43825805543223084,-0.9307393430476548,-0.2291195166101364,-0.24759422323514912
ADI,Individual equity,,2023-present,917,0.46639647684518626,0.08304140926089909,-0.21777787419377792,0.7423756627774056,0.12563283773425238,-0.1949507423409469,-0.0938614109110029,-0.021609783218148104,-0.14590531614762126,-0.2759791859322194,-0.04259142847335329,-0.02282713185283103
ADM,Individual equity,,2016-2019,1006,0.35376469909415625,0.03806060701102454,-0.13282101890370057,0.7387176694240986,0.06885877619592429,-0.09776065096621256,-0.3595532414119072,-0.03413889957514615,-0.17116256447871525,-0.3849529703299423,-0.03079816918489975,-0.03506036793748801
ADM,Individual equity,,2020-2022,756,0.7975592790741647,0.16137975199591548,-0.19796348062670688,1.5748623595050357,0.2065502688244516,-0.07429364787793435,-0.15841561134858523,-0.043765670894628794,-0.2750867862597671,-0.777303080430871,-0.04517051682853612,-0.12366983274877252
ADM,Individual equity,,2023-present,917,0.4678352501724954,0.0641601858620593,-0.23877210278269778,0.7027765318189667,0.07511443519965777,-0.181788006350734,0.1827975887162784,0.0148718764100213,-0.15182060242043594,-0.23494128164647132,-0.010954249337598476,-0.05698409643196378
ADP,Individual equity,,2016-2019,1006,0.8056249632371708,0.09468965270934282,-0.1335662285554522,1.7268061599949591,0.1623044644740057,-0.07262454407553443,-0.6263672985092809,-0.05757276712037718,-0.23115375694737883,-0.9211811967577883,-0.06761481176466289,-0.06094168447991777
ADP,Individual equity,,2020-2022,756,1.2976848290849745,0.30047735579813195,-0.12718310596769966,2.0006837402937636,0.27511073211667236,-0.06326152642684546,0.2427910231029743,0.028313637978797823,-0.1581912078127371,-0.7029989112087891,0.025366623681459588,-0.0639215795408542
ADP,Individual equity,,2023-present,917,1.1056994675141616,0.17152807477291954,-0.10464059579816798,1.1150652537028412,0.12021538922704655,-0.08505672481612048,0.49523058211422855,0.05103261397435177,-0.14333536041710548,-0.009365786188679559,0.05131268554587298,-0.019583870982047502
ADSK,Individual equity,,2016-2019,1006,0.13714261282057405,0.007613954614731799,-0.4019147382711148,0.8508172633641924,0.13445897993245293,-0.1874593492402562,-0.6905734502512243,-0.08915340265043825,-0.3766270412937113,-0.7136746505436183,-0.12684502531772113,-0.2144553890308586
ADSK,Individual equity,,2020-2022,756,0.5113096310141486,0.11869525538879988,-0.3643390984419551,1.0277905282196447,0.20530424030595107,-0.22146903777701854,-0.10806187375174937,-0.058288190994436495,-0.35142156034553607,-0.5164808972054961,-0.08660898491715119,-0.14287006066493657
ADSK,Individual equity,,2023-present,917,0.5532936536436026,0.09935992696495721,-0.2907718910267496,1.0623645602649867,0.16124452860907001,-0.18155264864867338,-0.1645528787007045,-0.037193637298856164,-0.32691201807006764,-0.5090709066213841,-0.0618846016441128,-0.10921924237807623
AEE,Individual equity,,2016-2019,1006,0.6445154437300316,0.06268284283649161,-0.10917741548888626,0.9156201642450459,0.07214413134502662,-0.07017565921113356,-0.06044374289912121,-0.005992180617190868,-0.11535788077083853,-0.27110472051501433,-0.009461288508535004,-0.03900175627775271
AEE,Individual equity,,2020-2022,756,0.5988704513762544,0.09561075194718827,-0.206137089154511,0.7744383475447656,0.07913509772817484,-0.12463020264741698,0.028837026760664394,-0.006427573334912506,-0.24602952231539976,-0.1755678961685112,0.016475654219013425,-0.08150688650709403
AEE,Individual equity,,2023-present,917,0.16258026028289846,0.012755079738166586,-0.14536722911663513,0.9279709488454697,0.09377954290633994,-0.07719298155554488,-0.6185354043462062,-0.053921160795176726,-0.2501714980328793,-0.7653906885625712,-0.08102446316817336,-0.06817424756109025
AEP,Individual equity,,2016-2019,1006,0.6271056155400465,0.06542812200016312,-0.09656905561624118,1.099540202937439,0.09322768498834666,-0.06471006012471137,-0.23291248972020315,-0.019772544271055348,-0.1802925825109878,-0.4724345873973925,-0.027799562988183535,-0.03185899549152982
AEP,Individual equity,,2020-2022,756,1.0610407633976386,0.16681372859415244,-0.123767270885357,1.3895126454697502,0.1537973738067997,-0.08257465066996617,0.21200329877489466,0.018082186884034845,-0.11123357539237666,-0.32847188207211153,0.013016354787352746,-0.04119262021539083
AEP,Individual equity,,2023-present,917,0.1438004214221468,0.010412026520348228,-0.16233112561416918,0.8527697515238918,0.08551233333440211,-0.0897893158261438,-0.5963782832514435,-0.058865628276568716,-0.24091108853578036,-0.708969330101745,-0.07510030681405389,-0.07254180978802538
AES,Individual equity,,2016-2019,1006,0.2868745046445309,0.029872699231731303,-0.335212464470767,0.7105032938902314,0.07134291519029756,-0.23650654105053137,-0.49787105707291207,-0.04625003651054749,-0.22630547666234824,-0.42362878924570047,-0.04147021595856626,-0.09870592342023565
AES,Individual equity,,2020-2022,756,0.9768084920626189,0.27168744869582406,-0.31377511539792236,1.068176617056326,0.19496603294265547,-0.19232013564344108,0.42207415498182355,0.07307430506980217,-0.17811626411107817,-0.09136812499370717,0.0767214157531686,-0.12145497975448127
AES,Individual equity,,2023-present,917,1.5030644731312404,0.45082762910474083,-0.18015165974128877,0.9241167022411606,0.1549883403027914,-0.13253095956907257,1.2371399747243585,0.2801760914349163,-0.15328261939044352,0.5789477708900798,0.29583928880194943,-0.0476207001722162
AFL,Individual equity,,2016-2019,1006,0.7622692993941192,0.07648485723291643,-0.15137115873684093,1.168556310446552,0.0976385951481229,-0.08319690676873037,-0.33425489301044675,-0.022840010505318697,-0.1330338912175969,-0.4062870110524327,-0.021153737915206472,-0.06817425196811056
AFL,Individual equity,,2020-2022,756,0.9436059974270987,0.25050995176306246,-0.277322831890943,1.0423793790022706,0.14339468723401572,-0.12171694107353315,0.4042463688708835,0.07209189008415873,-0.3094932850016945,-0.0987733815751719,0.10711526452904674,-0.15560589081740983
AFL,Individual equity,,2023-present,917,0.0323819369210807,-0.0030826894559007334,-0.3026234269728292,0.477433870426621,0.040877588619259164,-0.14370705535687378,-0.36953788147405137,-0.028682904397843045,-0.20237813381108516,-0.4450519335055403,-0.0439602780751599,-0.1589163716159554
AGG,Bond ETF,,2016-2019,1006,1.1418838615932079,0.019545743041242236,-0.01368820195852194,1.0590146042580315,0.014825230797735678,-0.011829995176037889,0.4771041266406147,0.00465155191283162,-0.01205885263713069,0.08286925733517636,0.004720512243506558,-0.001858206782484051
AGG,Bond ETF,,2020-2022,756,0.9125509802633592,0.03175617602794256,-0.027934764627922992,1.182449267410587,0.011612361174274888,-0.010551669372815042,0.6044546433874122,0.019912582750852614,-0.029223326637795477,-0.26989828714722786,0.020143814853667674,-0.01738309525510795
AGG,Bond ETF,,2023-present,917,0.4401976198719683,0.010010836426070702,-0.024897051189806008,0.5949858887516141,0.010149338091340221,-0.021373329190433776,-0.0009728203871727023,-0.0001371100886241594,-0.022271025528774913,-0.15478826887964575,-0.00013850166526951924,-0.0035237219993722313
AIG,Individual equity,,2016-2019,1006,1.020270295147775,0.14520227702876887,-0.14464235574462647,1.2939015021444338,0.12093131490374831,-0.0460357711914301,-0.0005993819597921013,-0.006663587803493631,-0.21372383589652133,-0.2736312069966589,0.024270962125020556,-0.09860658455319637
AIG,Individual equity,,2020-2022,756,1.0029901637005965,0.325015717461109,-0.25102437112295906,1.443306947342471,0.2920401781508086,-0.12835454784328937,0.2914401945367334,0.04320385763570722,-0.41468845625696527,-0.44031678364187443,0.032975539310300395,-0.12266982327966969
AIG,Individual equity,,2023-present,917,0.17491708810904735,0.015386668094408584,-0.13423366804460846,0.5501857652485883,0.05745506991401883,-0.1048553677842824,-0.011747405603730204,-0.007789364394727105,-0.15509048314514273,-0.37526867713954093,-0.042068401819610246,-0.029378300260326062
AIR,Individual equity,,2016-2019,1006,0.313422254312085,0.041520892667517906,-0.24720541795364748,0.5279425895242186,0.06725404262624002,-0.22245881318276262,-0.08025861095695237,-0.016022671432722402,-0.20956029630778383,-0.2145203352121336,-0.025733149958722112,-0.02474660477088486
AIR,Individual equity,,2020-2022,756,0.7012772972841254,0.25145595485344874,-0.5941008730204587,1.0200862417372114,0.2703781406100336,-0.15750439472288424,0.12612113872731895,-0.04093357671522169,-0.7221580251469377,-0.31880894445308605,-0.018922185756584886,-0.4365964782975744
AIR,Individual equity,,2023-present,917,0.9907205801012051,0.21377027462117293,-0.18357027929142844,1.549623997299408,0.3013038508354744,-0.11698674144498211,-0.29335343232839317,-0.04806078706735928,-0.2254076773819741,-0.5589034171982028,-0.08753357621430147,-0.06658353784644633
AIZ,Individual equity,,2016-2019,1006,1.0181647874807442,0.13793830947071983,-0.15398627933018727,1.0612825251167541,0.11090460129947854,-0.0952586543213384,0.15624581457563766,0.010119006442603995,-0.10630238539280545,-0.0431177376360099,0.02703370817124129,-0.05872762500884887
AIZ,Individual equity,,2020-2022,756,0.004679330464289156,-0.032011528969464575,-0.3441681377586542,0.23354485877271478,0.022171703841603607,-0.1578978104651345,-0.222962180479365,-0.07388137506462844,-0.4080445477057447,-0.22886552830842563,-0.05418323281106818,-0.18627032729351967
AIZ,Individual equity,,2023-present,917,0.83799853816295,0.12587544680754204,-0.23582000891963906,1.1122326991658182,0.14734222943987807,-0.16470282263499503,-0.26353199334240107,-0.02595061378289376,-0.2264085773081883,-0.27423416100286824,-0.021466782632336034,-0.07111718628464403
AJG,Individual equity,,2016-2019,1006,1.0368551439747855,0.11364822318853052,-0.11258572921791887,1.543709474789961,0.14298680309152267,-0.05640216658234931,-0.3760635977149874,-0.0257253671863783,-0.12037598919265835,-0.5068543308151754,-0.029338579902992157,-0.05618356263556956
AJG,Individual equity,,2020-2022,756,0.9364682464632865,0.1915550976581173,-0.17416238228587577,1.8952674990169467,0.2405375290107874,-0.07297354052918947,-0.13232858743058265,-0.03756979329550181,-0.2630283403525513,-0.9587992525536602,-0.04898243135267011,-0.1011888417566863
