symbol,group,watchlist_section,exit,exit_label,period,bars,cagr,sharpe,max_drawdown,calmar,turnover_per_year
A,Individual equity,,channel,Donchian exit channel (Turtle),2016-2019,1006,0.10680123679805642,0.8058225355576846,-0.1267261967821416,0.8427715777003969,17.785288270377734
A,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.10449091492749152,0.7789479035282527,-0.16817366559640146,0.6213274507452218,16.783300198807158
A,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.13488673537714657,0.9856079304147074,-0.13998186427303816,0.9636015070784212,16.282306163021868
A,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.11910321198293583,0.918479179965926,-0.13998186427303783,0.8508474479995658,16.282306163021868
A,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.07588037490948052,0.6275992168142877,-0.13998186427303816,0.5420728985397275,15.78131212723658
A,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.07917481390863701,0.5691877374674106,-0.19753005622310849,0.4008241349316974,14.779324055666004
A,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,756,0.13454476018963923,0.6293363438959513,-0.22771801330598918,0.5908393378122827,19.0
A,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,0.16951963833412687,0.7506842193886848,-0.2601524372300338,0.6516165681132291,17.666666666666668
A,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,0.16261731023645787,0.7263220538398133,-0.2731746840081125,0.5952868979309539,17.666666666666668
A,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,0.16261731023645787,0.7263220538398133,-0.2731746840081125,0.5952868979309539,17.666666666666668
A,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,0.16261731023645787,0.7263220538398133,-0.2731746840081125,0.5952868979309539,17.666666666666668
A,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,0.03412213645822626,0.25992279746079927,-0.32677762846768366,0.10442005047356151,17.0
A,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.17760003802029756,0.9556293750747114,-0.18754903957890567,0.9469525326232217,18.9618320610687
A,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.17109991595884289,0.9255062645608623,-0.18754903957890579,0.9122942796348343,17.862595419847327
A,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.17909258502270542,0.9564046475845285,-0.1875490395789059,0.9549107018879579,17.31297709923664
A,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.17909258502270542,0.9564046475845285,-0.1875490395789059,0.9549107018879579,17.31297709923664
A,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.17909258502270542,0.9564046475845285,-0.1875490395789059,0.9549107018879579,17.31297709923664
A,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.10186095077893875,0.5815347922925774,-0.2589611268166563,0.3933445611358341,16.763358778625953
AAL,Individual equity,,channel,Donchian exit channel (Turtle),2016-2019,1006,0.19403821297506485,0.7998641707101548,-0.2485010935249936,0.7808344431110078,20.03976143141153
AAL,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.22279788953418245,0.8986914837322669,-0.25382485541690314,0.8777623025461418,20.03976143141153
AAL,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.20932825929427268,0.8504874356801203,-0.2550535281845583,0.8207228529016916,20.03976143141153
AAL,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.2123693450214892,0.8681475424313297,-0.2550535281845583,0.8326461764050463,19.037773359840955
AAL,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.1862733722384029,0.795052248935834,-0.2550535281845586,0.7303305057737296,18.536779324055665
AAL,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.06422496815800449,0.3620730687274299,-0.3085697806585814,0.2081375824325018,19.037773359840955
AAL,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,756,-0.13288337322134525,-0.011115857713896806,-0.6488451857289205,-0.20479981379851417,19.0
AAL,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,-0.27064106995066606,-0.3669159603852244,-0.7554516555557044,-0.35825068084811407,19.666666666666668
AAL,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,-0.2657536729039659,-0.35313672541575064,-0.7505025213104205,-0.3541009728254406,19.0
AAL,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,-0.2657536729039659,-0.35313672541575064,-0.7505025213104205,-0.3541009728254406,19.0
AAL,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,-0.2657536729039659,-0.35313672541575064,-0.7505025213104205,-0.3541009728254406,19.0
AAL,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,-0.24319779236735584,-0.20477278644923153,-0.766539583362848,-0.31726710224204574,17.666666666666668
AAL,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.5103568938233178,1.3209292649306992,-0.24858574337910866,2.053041686485584,16.213740458015266
AAL,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.36136600861946944,1.1587186577766317,-0.2583642722956213,1.3986686526300864,18.412213740458014
AAL,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.40785274930805526,1.2533216911799352,-0.2583642722956213,1.578595777520619,17.862595419847327
AAL,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.40785274930805526,1.2533216911799352,-0.2583642722956213,1.578595777520619,17.862595419847327
AAL,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.40785274930805526,1.2533216911799352,-0.2583642722956213,1.578595777520619,17.862595419847327
AAL,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.26335117628633453,0.8549846240686653,-0.3457671883189647,0.7616430511139111,16.213740458015266
AAPL,Individual equity,Mega-cap 7,channel,Donchian exit channel (Turtle),2016-2019,1006,0.3622895308805185,1.711254495484423,-0.15481135650876243,2.340199963689438,18.78727634194831
AAPL,Individual equity,Mega-cap 7,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.3838745111774027,1.8195663951587473,-0.15264060847979644,2.5148911223595682,18.28628230616302
AAPL,Individual equity,Mega-cap 7,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.3802733631920139,1.8054266999047208,-0.15264060847979644,2.491298789878363,18.28628230616302
AAPL,Individual equity,Mega-cap 7,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.3577120666321243,1.7409825863011807,-0.15264060847979632,2.3434921427181776,17.785288270377734
AAPL,Individual equity,Mega-cap 7,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.34076531542901356,1.7206179989586592,-0.1526406084797962,2.23246827186304,16.783300198807158
AAPL,Individual equity,Mega-cap 7,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.34718686634903495,1.5776832258904399,-0.19650774215923872,1.7667846698258556,14.779324055666004
AAPL,Individual equity,Mega-cap 7,channel,Donchian exit channel (Turtle),2020-2022,756,0.3250632901913135,1.078175734707098,-0.2251044148453103,1.4440555971089863,16.666666666666668
AAPL,Individual equity,Mega-cap 7,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,0.27080362386277157,1.0450458232795166,-0.1900189795668069,1.4251398701336693,20.0
AAPL,Individual equity,Mega-cap 7,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,0.2712808038593866,1.0464805701571924,-0.1900189795668069,1.4276510929478474,20.0
AAPL,Individual equity,Mega-cap 7,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,0.2712808038593866,1.0464805701571924,-0.1900189795668069,1.4276510929478474,20.0
AAPL,Individual equity,Mega-cap 7,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,0.2712808038593866,1.0464805701571924,-0.1900189795668069,1.4276510929478474,20.0
AAPL,Individual equity,Mega-cap 7,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,0.2457650577106818,0.8818517284305332,-0.22220454139046109,1.1060307596450958,15.333333333333334
AAPL,Individual equity,Mega-cap 7,channel,Donchian exit channel (Turtle),2023-present,917,0.2396457132455041,1.2795597886784065,-0.15361322348539275,1.5600591394938879,17.31297709923664
AAPL,Individual equity,Mega-cap 7,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.25736390153309086,1.4853180425354067,-0.11175567605992565,2.3029157051055478,16.763358778625953
AAPL,Individual equity,Mega-cap 7,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.24640471360313776,1.4316206717641036,-0.11175567605992587,2.204851890216387,16.213740458015266
AAPL,Individual equity,Mega-cap 7,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.24640471360313776,1.4316206717641036,-0.11175567605992587,2.204851890216387,16.213740458015266
AAPL,Individual equity,Mega-cap 7,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.24640471360313776,1.4316206717641036,-0.11175567605992587,2.204851890216387,16.213740458015266
AAPL,Individual equity,Mega-cap 7,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.19966818708750345,1.0406985820348407,-0.1599198979343509,1.2485512413812927,15.664122137404581
ABBV,Individual equity,,channel,Donchian exit channel (Turtle),2016-2019,1006,0.11105326545944405,0.7060738892303526,-0.32366979320795153,0.34310667164450065,16.532803180914513
ABBV,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.06111198592387823,0.48433063872627724,-0.32107748227855215,0.19033407603109415,17.033797216699803
ABBV,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.07790352959572266,0.5889156426834011,-0.3210774822785516,0.24263155747601528,16.532803180914513
ABBV,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.05894721613449061,0.4793608059184949,-0.3210774822785517,0.18359187232990315,16.532803180914513
ABBV,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.06251155331756486,0.5053726587490166,-0.3210774822785516,0.19469304690552172,15.029821073558647
ABBV,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.07092067542029601,0.5268885114960464,-0.3752860023517539,0.18897767296373175,14.779324055666004
ABBV,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,756,0.25929244572198407,1.2285744994250944,-0.17167418840428117,1.5103752528677625,16.666666666666668
ABBV,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,0.32760543590289215,1.4862002786632784,-0.1716741884042815,1.9082975661513117,15.333333333333334
ABBV,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,756,0.3127340351027048,1.4345090681703652,-0.1716741884042815,1.8216718425150586,15.0
ABBV,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,756,0.3127340351027048,1.4345090681703652,-0.1716741884042815,1.8216718425150586,15.0
ABBV,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,756,0.3127340351027048,1.4345090681703652,-0.1716741884042815,1.8216718425150586,15.0
ABBV,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,756,0.29738705623851613,1.3066619901534668,-0.22288076852168892,1.334287647207107,14.333333333333334
ABBV,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.1739042029147202,1.1469569508277528,-0.21099753271402444,0.8242001727594668,16.48854961832061
ABBV,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.09786400170443543,0.7127072926260088,-0.17355915639850095,0.563865391692355,17.587786259541986
ABBV,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.14763381443634271,0.9764956529140923,-0.1735591563985006,0.8506253285615655,15.664122137404581
ABBV,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.14763381443634271,0.9764956529140923,-0.1735591563985006,0.8506253285615655,15.664122137404581
ABBV,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.14763381443634271,0.9764956529140923,-0.1735591563985006,0.8506253285615655,15.664122137404581
ABBV,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.09148908343167417,0.6272360659951025,-0.17122490978955807,0.5343211075077671,15.389312977099237
ABNB,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,518,-0.06953644512466173,-0.030717112847816346,-0.3739145634875133,-0.18596880655327527,18.0
ABNB,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,518,0.008205417619980615,0.20740847876402108,-0.3789418028101075,0.021653503411689982,15.081081081081082
ABNB,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2020-2022,518,-0.01064863727042431,0.15524935636241594,-0.3789418028101069,-0.02810098329468415,15.081081081081082
ABNB,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2020-2022,518,-0.016608628139591297,0.13066232864667907,-0.37894180281010736,-0.043828967974573384,14.108108108108109
ABNB,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2020-2022,518,-0.03856819314658799,0.05900464237694578,-0.37894180281010725,-0.10177867118533508,13.135135135135137
ABNB,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2020-2022,518,-0.04108141528239495,0.08500564346024025,-0.45499988344004483,-0.09028884792628356,14.108108108108109
ABNB,Individual equity,,channel,Donchian exit channel (Turtle),2023-present,917,0.17041479259484182,0.7234774783875814,-0.23112956053102274,0.7373128396182295,23.083969465648856
ABNB,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2023-present,917,0.16165529256939215,0.6789914072091329,-0.24668441845941913,0.6553121335305793,21.984732824427482
ABNB,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2023-present,917,0.21088520380022735,0.8210825377346054,-0.24668441845941902,0.854878492598912,19.786259541984734
ABNB,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2023-present,917,0.2034487860969716,0.801119280111272,-0.24668441845941902,0.8247330227322001,19.786259541984734
ABNB,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2023-present,917,0.2034487860969716,0.801119280111272,-0.24668441845941902,0.8247330227322001,19.786259541984734
ABNB,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2023-present,917,0.08632727775603333,0.42293697491388454,-0.3509057644412814,0.246012709120026,20.885496183206108
ABT,Individual equity,,channel,Donchian exit channel (Turtle),2016-2019,1006,0.11916962397088016,0.9952947498608006,-0.14605416821098793,0.8159275796821442,18.28628230616302
ABT,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2016-2019,1006,0.08759742627995881,0.7473297008588684,-0.15302143423617476,0.5724520013631561,17.284294234592444
ABT,Individual equity,,c3_d20,Chandelier 3 ATR + Donchian-20,2016-2019,1006,0.09818599617540746,0.8393531725516205,-0.1290478050152749,0.7608497964284286,16.282306163021868
ABT,Individual equity,,c3_d55,Chandelier 3 ATR + Donchian-55,2016-2019,1006,0.07716604281500916,0.6884384329276847,-0.1290478050152749,0.5979647837161997,16.282306163021868
ABT,Individual equity,,c3_d100,Chandelier 3 ATR + Donchian-100,2016-2019,1006,0.0839482724301146,0.7566298753090176,-0.12904780501527524,0.6505207308266711,14.779324055666004
ABT,Individual equity,,c4_d10,Chandelier 4 ATR + Donchian-10,2016-2019,1006,0.07953198544822193,0.6629510617245635,-0.19293888264822612,0.41221336185110924,16.783300198807158
ABT,Individual equity,,channel,Donchian exit channel (Turtle),2020-2022,756,0.024960488242182555,0.2223112032803376,-0.27233959963762366,0.0916520707065557,20.333333333333332
ABT,Individual equity,,c3_d10,Chandelier 3 ATR + Donchian-10,2020-2022,756,-0.0031409483127584625,0.07547890535968604,-0.26349022374309183,-0.011920549719601548,20.666666666666668
