scope,scenario,period,cost,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Priority assets,e5-x40-s0,full,normal,60,0.08001584226144298,-0.36837740906231864,57,1.2729680271356094,1,0,0
Priority assets,e5-x40-s0,full,double,60,0.07167486622335373,-0.3833676999571828,55,1.092539234610547,1,0,0
Priority assets,e5-x40-s0,full,gross,60,0.08794116126539608,-0.3532412927656388,58,1.457373583519104,1,0,0
Priority assets,e5-x40-s0,validation,normal,60,0.0762006013906179,-0.36837740906231875,51,0.4658516507949474,1,2,0
Priority assets,e5-x40-s0,validation,double,60,0.0672862572196199,-0.383367699957183,49,0.3766974458212904,1,2,0
Priority assets,e5-x40-s0,validation,gross,60,0.08690639872973993,-0.353241292765639,53,0.5605135436348164,1,2,0
Priority assets,e5-x40-s2,full,normal,60,0.07653447030112337,-0.3680953513498556,58,1.1090219732981033,1,0,0
Priority assets,e5-x40-s2,full,double,60,0.06607746495021793,-0.3915875016643617,55,0.9276308212480098,1,0,0
Priority assets,e5-x40-s2,full,gross,60,0.0861551755735892,-0.342140795316652,58,1.3324699300605296,1,0,0
Priority assets,e5-x40-s2,validation,normal,60,0.06210508588826502,-0.36358910826514396,53,0.4337195188696227,1,2,0
Priority assets,e5-x40-s2,validation,double,60,0.05082329504345717,-0.3891494721746957,49,0.31042349195589924,1,2,0
Priority assets,e5-x40-s2,validation,gross,60,0.07200124263849939,-0.34214079531665187,56,0.5760070316541485,1,2,0
Priority assets,e5-x40-s3,full,normal,60,0.07569147012702038,-0.3669437655465386,57,1.133326939000268,1,0,0
Priority assets,e5-x40-s3,full,double,60,0.06585717219803655,-0.37707048050879827,56,0.9216578166636328,1,0,0
Priority assets,e5-x40-s3,full,gross,60,0.08672528522040612,-0.35491714155817145,58,1.3680676798943845,1,0,0
Priority assets,e5-x40-s3,validation,normal,60,0.06613777423666434,-0.3669437655465385,53,0.4697213300814411,1,2,0
Priority assets,e5-x40-s3,validation,double,60,0.05215219924094705,-0.377070480508798,50,0.3768114290212642,1,2,0
Priority assets,e5-x40-s3,validation,gross,60,0.07612950760331838,-0.3549171415581718,56,0.5895431820386551,1,2,0
Priority assets,e5-x55-s0,full,normal,60,0.08520061814015978,-0.3830355880237356,57,1.3920706657947328,1,0,0
Priority assets,e5-x55-s0,full,double,60,0.07773558772941158,-0.3884854229658378,57,1.2232368731946055,1,0,0
Priority assets,e5-x55-s0,full,gross,60,0.09211439841694613,-0.37147635763140396,58,1.5601411279577098,1,0,0
