id,scope,window,book,method,cost,ending,net,cagr,drawdown,average_gross,maximum_gross,funding_deficit_days,stale_position_days,maximum_stale_gross,fees,slippage,borrow,largest_symbol_fraction,largest_group_fraction,entries,closed_trades,assets_funded,long_contribution,short_contribution,max_identity_error,max_entry_budget_error,scaled_cap_requests,scaled_funding_requests,unfunded,sleeve_deficit_days,same_day_round_trips
universe__full__long-channel__inverse-vol__normal,universe,full,long-channel,inverse-vol,normal,239629.22564211098,1.39629225642111,0.08535728147890809,-0.16811560148236637,0.782309581638173,0.9733082291473416,0,0,0.0,2299.223218183201,5453.803806499347,0.0,0.04678787627248014,0.8084046229288455,11064,10540,674,1.4738225266679335,0.0,6.693881005048752e-10,0.0,0,0,0,0,0
universe__full__long-channel__capped-vol__normal,universe,full,long-channel,capped-vol,normal,228311.627868764,1.2831162786876398,0.08044677562675373,-0.15671496694510334,0.7410797184120905,0.9388486084824675,0,0,0.0,2087.0972751626464,4893.988270542322,0.0,0.04646641330757768,0.7106033501425362,10642,10127,674,1.352927134144691,0.0,3.7834979593753815e-10,0.0,1107,397,422,0,0
universe__full__long-initial__equal__normal,universe,full,long-initial,equal,normal,337094.9771644183,2.370949771644183,0.12063473656856982,-0.20756609046153307,0.7995735385975811,1.0,0,0,0.0,3753.1960912787927,11064.973728511566,0.0,0.056566188676610465,0.9916876028791963,13082,12595,674,2.519131469842072,0.0,1.4551915228366852e-09,1.3642420526593924e-12,0,371,93,0,24
universe__full__long-initial__inverse-vol__normal,universe,full,long-initial,inverse-vol,normal,229459.35999084584,1.2945935999084583,0.08095468757995072,-0.15023660768952662,0.7477060542736388,0.9535148978884737,0,0,0.0,2641.787249840325,6091.092597373908,0.0,0.046561902519475576,0.809424599690507,13175,12688,674,1.3819223983806028,0.0,3.4924596548080444e-10,0.0,0,0,0,0,24
universe__full__long-initial__capped-vol__normal,universe,full,long-initial,capped-vol,normal,222075.90038106852,1.2207590038106853,0.07764612950896033,-0.14278678328505678,0.719050075680558,0.9283527700637566,0,0,0.0,2468.0047968483605,5652.000949825005,0.0,0.04626238976332545,0.7079475884935728,12821,12339,674,1.3019590612774208,0.0,5.820766091346741e-10,0.0,1120,326,354,0,19
universe__full__short-reference__equal__normal,universe,full,short-reference,equal,normal,43421.81848594604,-0.5657818151405396,-0.07520847450291668,-0.5659916675878723,0.20690546038491592,0.8423491836351745,0,0,0.0,3033.908481628056,8163.567142337912,3009.976110280202,0.0022096820872086957,0.8407383047184838,27977,27710,674,0.0,-0.4237072977980847,3.4051481634378433e-09,0.0,0,0,0,0,392
universe__full__short-reference__inverse-vol__normal,universe,full,short-reference,inverse-vol,normal,55660.82642264002,-0.4433917357735998,-0.053432909878390555,-0.4436038425022778,0.18280944981658295,0.7327840370163977,0,0,0.0,3008.5523204800465,6356.290386542597,2972.3826581454755,0.053473751060496476,0.6725046785688181,27977,27710,674,0.0,-0.32001948212187625,7.683411240577698e-09,0.0,0,0,0,0,392
universe__full__short-reference__capped-vol__normal,universe,full,short-reference,capped-vol,normal,55660.82642264002,-0.4433917357735998,-0.053432909878390555,-0.4436038425022778,0.18280944981658295,0.7327840370163977,0,0,0.0,3008.5523204800465,6356.290386542597,2972.3826581454755,0.053473751060496476,0.6725046785688181,27977,27710,674,0.0,-0.32001948212187625,7.683411240577698e-09,0.0,0,0,0,0,392
universe__full__combined-channel__equal__normal,universe,full,combined-channel,equal,normal,201310.8825537021,1.0131088255370209,0.06777622046347775,-0.1841981035999769,0.6546271849807593,0.9133816033532165,0,0,0.0,3132.6326408952873,8987.710410330794,1504.988055140101,0.050583882675287864,0.8897326780213,38901,38110,674,1.3612157854997382,-0.21185364889904235,2.3137545213103294e-09,6.821210263296962e-13,0,543,140,0,392
universe__full__combined-channel__inverse-vol__normal,universe,full,combined-channel,inverse-vol,normal,147645.0260323755,0.4764502603237548,0.037194472322930716,-0.12454458645347166,0.5814740597171779,0.8112892117358858,0,0,0.0,2653.8877693316235,5905.0470965209715,1486.1913290727377,0.0427408018599015,0.6495753082339233,39041,38250,674,0.7369112633339667,-0.16000974106093813,3.841705620288849e-09,0.0,0,0,0,0,392
universe__full__combined-channel__capped-vol__normal,universe,full,combined-channel,capped-vol,normal,147645.0260323755,0.4764502603237548,0.037194472322930716,-0.12454458645347166,0.5814740597171779,0.8112892117358858,0,0,0.0,2653.8877693316235,5905.0470965209715,1486.1913290727377,0.0427408018599015,0.6495753082339233,39041,38250,674,0.7369112633339667,-0.16000974106093813,3.841705620288849e-09,0.0,0,0,0,0,392
universe__full__combined-initial__equal__normal,universe,full,combined-initial,equal,normal,190258.39782518218,0.9025839782518219,0.06213999947904103,-0.1671567430932378,0.6293922571425434,0.8898664323538057,0,0,0.0,3393.552286453424,9614.27043542474,1504.988055140101,0.05020451068278834,0.8698455791409947,41059,40305,674,1.259565734921036,-0.21185364889904235,1.7025740817189217e-09,6.821210263296962e-13,0,371,93,0,416
universe__full__combined-initial__inverse-vol__normal,universe,full,combined-initial,inverse-vol,normal,142560.09320674292,0.4256009320674292,0.03379304253364812,-0.11161894927662797,0.554844833460883,0.7659370491922202,0,0,0.0,2825.1697851601857,6223.691491958252,1486.1913290727377,0.03822400894390837,0.635564810361706,41152,40398,674,0.6909611991903014,-0.16000974106093813,3.841705620288849e-09,0.0,0,0,0,0,416
universe__full__combined-initial__capped-vol__normal,universe,full,combined-initial,capped-vol,normal,142560.09320674292,0.4256009320674292,0.03379304253364812,-0.11161894927662797,0.554844833460883,0.7659370491922202,0,0,0.0,2825.1697851601857,6223.691491958252,1486.1913290727377,0.03822400894390837,0.635564810361706,41152,40398,674,0.6909611991903014,-0.16000974106093813,3.841705620288849e-09,0.0,0,0,0,0,416
universe__full__buy-hold__equal__normal,universe,full,buy-hold,equal,normal,577866.6741750546,4.778666741750547,0.17869927079219372,-0.35064737836689286,0.942083301377743,0.9992342907181163,0,3146,354.47015410593895,49.687992044796225,131.8500422566149,0.0,0.07294966196960381,0.993354740938002,675,0,675,4.780482122093552,0.0,1.0477378964424133e-09,0.0,0,0,0,0,0
universe__full__long-channel__equal__double,universe,full,long-channel,equal,double,336831.888046728,2.36831888046728,0.12055273387053056,-0.23455246962745901,0.8298954349111406,1.0,0,0,0.0,6225.629893165124,18866.665296507053,0.0,0.05677174379886128,0.9872808264154483,10923,10399,674,2.619241832364004,0.0,1.3096723705530167e-09,1.3642420526593924e-12,0,556,141,0,0
universe__full__long-channel__inverse-vol__double,universe,full,long-channel,inverse-vol,double,228414.2093712148,1.284142093712148,0.08049226561419931,-0.17360298178823275,0.7830167579075301,0.9747504553498587,0,0,0.0,4478.343816184187,10604.36034085019,0.0,0.046847151914453315,0.8086835498330864,11064,10540,674,1.434969135282495,0.0,5.238689482212067e-10,0.0,0,0,0,0,0
universe__full__long-channel__capped-vol__double,universe,full,long-channel,capped-vol,double,218378.39796336245,1.1837839796336245,0.07595162731455485,-0.16204901172437547,0.7417642623782927,0.9390746341827776,0,0,0.0,4073.51018961922,9536.780089836619,0.0,0.04648936544612456,0.7106122235037481,10643,10128,674,1.3198868824281877,0.0,1.1641532182693481e-09,0.0,1107,396,421,0,0
universe__full__long-initial__equal__double,universe,full,long-initial,equal,double,311883.47802599537,2.1188347802599536,0.11249969504795798,-0.21560393174734482,0.8000405442621479,1.0,0,0,0.0,7181.254937335098,21121.861690860478,0.0,0.0567675980397704,0.9916654117777743,13082,12595,674,2.401865946541887,0.0,3.3760443329811096e-09,4.547473508864641e-13,0,384,93,0,24
universe__full__long-initial__inverse-vol__double,universe,full,long-initial,inverse-vol,double,217036.33594669023,1.1703633594669025,0.07533014618864042,-0.15664521506714268,0.7486946381788993,0.9545861555866453,0,0,0.0,5123.991978079908,11792.520160270731,0.0,0.04688603900449984,0.8094652722114982,13175,12688,674,1.3395284808504067,0.0,3.2014213502407074e-10,0.0,0,0,0,0,24
universe__full__long-initial__capped-vol__double,universe,full,long-initial,capped-vol,double,210693.30094176356,1.1069330094176357,0.07234484809368502,-0.14907755451888283,0.7199400698181507,0.9285728357254959,0,0,0.0,4794.765277161174,10960.753470278734,0.0,0.046558195332756284,0.7079562490146373,12815,12333,674,1.2644881968920283,0.0,7.275957614183426e-10,0.0,1128,332,360,0,19
universe__full__short-reference__equal__double,universe,full,short-reference,equal,double,35298.844887064566,-0.6470115511293544,-0.0929871794718824,-0.647063391365974,0.20675270827169118,0.8417748103190946,0,0,0.0,5572.276844322048,14891.866757530306,5508.584815612067,0.002200096621971201,0.8401637414225116,27977,27710,674,0.0,-0.38728426695477436,8.17817635834217e-09,0.0,0,0,0,0,392
universe__full__short-reference__inverse-vol__double,universe,full,short-reference,inverse-vol,double,47376.5408593948,-0.526234591406052,-0.06762231923381268,-0.5262661715654657,0.18270907916511175,0.7325484814252794,0,0,0.0,5607.606052494096,11792.7128518248,5528.450252847498,0.05347415406414722,0.6721499356680679,27977,27710,674,0.0,-0.2969468998343821,4.511093720793724e-09,0.0,0,0,0,0,392
universe__full__short-reference__capped-vol__double,universe,full,short-reference,capped-vol,double,47376.5408593948,-0.526234591406052,-0.06762231923381268,-0.5262661715654657,0.18270907916511175,0.7325484814252794,0,0,0.0,5607.606052494096,11792.7128518248,5528.450252847498,0.05347415406414722,0.6721499356680679,27977,27710,674,0.0,-0.2969468998343821,4.511093720793724e-09,0.0,0,0,0,0,392
universe__full__combined-channel__equal__double,universe,full,combined-channel,equal,double,186065.36646689626,0.8606536646689626,0.05992383217475172,-0.19745313756709704,0.661354075862547,0.9235298542889677,0,0,0.0,5898.953368743586,16879.26602701868,2754.2924078060337,0.05143776939604615,0.8996386095948776,38900,38109,674,1.309620916182002,-0.19364213347738718,4.089088179171085e-09,6.821210263296962e-13,0,556,141,0,392
universe__full__combined-channel__inverse-vol__double,universe,full,combined-channel,inverse-vol,double,137895.3751153048,0.3789537511530481,0.030574583021105717,-0.13610590883105678,0.5881426177825345,0.825280119253131,0,0,0.0,5042.974934339141,11198.536596337493,2764.225126423749,0.04280541605524269,0.6554699676728639,39041,38250,674,0.7174845676412475,-0.14847344991719105,2.255546860396862e-09,0.0,0,0,0,0,392
